country_or_region;date;variable;generation_twh
Germany;2020-02-01;Clean;32.41
Germany;2020-02-01;Coal;8.18
Germany;2020-02-01;Fossil;17.59
Germany;2020-02-01;Gas;7.36
Germany;2020-02-01;Hydro;1.79
Germany;2020-02-01;Nuclear;5.17
Germany;2020-02-01;Other Fossil;2.05
Germany;2020-02-01;Solar;1.76
Germany;2020-02-01;Wind;20.21
Germany;2020-02-01;Wind and solar;21.97
Germany;2020-03-01;Bioenergy;3.73
Germany;2020-03-01;Clean;29.5
Germany;2020-03-01;Coal;9.56
Germany;2020-03-01;Fossil;19.32
Germany;2020-03-01;Gas;7.56
Germany;2020-03-01;Hydro;1.87
Germany;2020-03-01;Nuclear;5.4
